"Date","Price","Open","High","Low","Vol.","Change %"
"06/11/2023","2.632","2.304","2.653","2.206","755.69K","16.77%"
"06/04/2023","2.254","2.214","2.380","2.173","697.05K","3.78%"
"05/28/2023","2.172","2.417","2.448","2.136","545.99K","-0.41%"
"05/21/2023","2.181","2.568","2.569","2.143","254.92K","-15.63%"
"05/14/2023","2.585","2.265","2.685","2.250","603.74K","14.08%"
"05/07/2023","2.266","2.148","2.335","2.140","664.75K","6.04%"
"04/30/2023","2.137","2.398","2.410","2.031","479.82K","-11.33%"
"04/23/2023","2.410","2.220","2.529","2.101","230.08K","7.93%"
"04/16/2023","2.233","2.150","2.385","2.140","575.21K","5.63%"
"04/09/2023","2.114","2.019","2.247","1.946","949.17K","5.12%"
"04/02/2023","2.011","2.085","2.197","1.992","658.87K","-9.25%"
"03/26/2023","2.216","2.130","2.241","1.944","259.63K","0.00%"
"03/19/2023","2.216","2.347","2.427","2.127","458.32K","-5.22%"
"03/12/2023","2.338","2.426","2.674","2.327","486.83K","-3.79%"
"03/05/2023","2.430","2.830","2.830","2.425","666.61K","-19.24%"
"02/26/2023","3.009","2.650","3.027","2.554","876.16K","22.77%"
"02/19/2023","2.451","2.225","2.577","1.967","223.45K","7.74%"
"02/12/2023","2.275","2.580","2.623","2.220","710.17K","-9.51%"
"02/05/2023","2.514","2.422","2.657","2.350","799.88K","4.32%"
"01/29/2023","2.410","2.720","2.780","2.341","684.28K","-22.48%"
"01/22/2023","3.109","3.450","3.595","2.761","281.38K","-2.05%"
"01/15/2023","3.174","3.557","3.789","3.091","362.83K","-7.17%"
"01/08/2023","3.419","3.810","4.128","3.384","499.45K","-7.84%"
"01/01/2023","3.710","4.393","4.394","3.520","438.33K","-17.09%"
"12/25/2022","4.475","5.283","5.367","4.378","121.32K","-11.89%"
"12/18/2022","5.079","6.154","6.275","4.825","401.48K","-23.05%"
"12/11/2022","6.600","6.950","7.105","6.219","618.36K","5.68%"
"12/04/2022","6.245","5.900","6.391","5.337","626.37K","-0.57%"
"11/27/2022","6.281","6.870","7.421","6.221","307.20K","-10.58%"
"11/20/2022","7.024","6.333","7.604","6.145","275.50K","11.44%"
"11/13/2022","6.303","6.119","6.547","5.727","407.52K","7.21%"
"11/06/2022","5.879","6.980","7.221","5.715","554.09K","-8.14%"
"10/30/2022","6.400","5.832","6.510","5.614","468.78K","12.60%"
"10/23/2022","5.684","4.970","5.890","4.750","148.13K","14.62%"
"10/16/2022","4.959","6.263","6.314","4.903","445.88K","-23.15%"
"10/09/2022","6.453","6.647","6.901","6.337","464.89K","-4.37%"
"10/02/2022","6.748","6.800","7.188","6.305","416.97K","-0.27%"
"09/25/2022","6.766","6.844","7.139","6.456","245.93K","-0.91%"
"09/18/2022","6.828","7.737","8.123","6.737","476.23K","-12.06%"
"09/11/2022","7.764","8.026","9.238","7.717","576.00K","-2.90%"
"09/04/2022","7.996","9.028","9.126","7.751","473.03K","-8.99%"
"08/28/2022","8.786","9.670","9.682","8.619","361.50K","-5.49%"
"08/21/2022","9.296","9.174","10.028","9.050","321.35K","-0.43%"
"08/14/2022","9.336","8.679","9.677","8.403","454.89K","6.48%"
"08/07/2022","8.768","7.876","8.994","7.532","527.99K","8.73%"
"07/31/2022","8.064","7.910","8.480","7.550","558.56K","-2.01%"
"07/24/2022","8.229","8.390","9.752","8.010","240.26K","-0.84%"
"07/17/2022","8.299","7.168","8.417","7.078","457.39K","18.29%"
"07/10/2022","7.016","6.446","7.144","6.014","585.16K","16.27%"
"07/03/2022","6.034","5.712","6.381","5.325","418.68K","5.31%"
"06/26/2022","5.730","6.126","6.833","5.357","407.32K","-7.88%"
"06/19/2022","6.220","6.800","6.976","6.021","317.09K","-10.43%"
"06/12/2022","6.944","8.920","8.950","6.881","806.05K","-21.54%"
"06/05/2022","8.850","8.750","9.664","8.016","898.52K","3.84%"
"05/29/2022","8.523","8.874","9.057","8.118","431.69K","-2.34%"
"05/22/2022","8.727","8.079","9.401","7.851","243.16K","7.97%"
"05/15/2022","8.083","7.700","8.548","7.663","426.94K","5.48%"
"05/08/2022","7.663","7.843","8.287","6.430","701.11K","-4.72%"
"05/01/2022","8.043","7.412","8.996","7.219","725.03K","11.03%"
"04/24/2022","7.244","6.414","7.422","6.345","325.36K","10.87%"
"04/17/2022","6.534","7.367","8.065","6.438","811.90K","-10.49%"
"04/10/2022","7.300","6.394","7.346","6.247","836.97K","16.28%"
"04/03/2022","6.278","5.745","6.538","5.650","849.97K","9.76%"
"03/27/2022","5.720","5.551","5.832","5.255","492.26K","2.67%"
"03/20/2022","5.571","4.909","5.577","4.748","386.45K","14.56%"
"03/13/2022","4.863","4.705","5.001","4.459","402.54K","2.92%"
"03/06/2022","4.725","5.041","5.184","4.450","551.47K","-5.80%"
"02/27/2022","5.016","4.620","5.045","4.340","623.96K","12.21%"
"02/20/2022","4.470","4.594","4.940","4.293","208.22K","0.88%"
"02/13/2022","4.431","4.103","4.793","4.040","609.65K","12.43%"
"02/06/2022","3.941","4.384","4.468","3.876","821.02K","-13.80%"
"01/30/2022","4.572","4.867","5.572","4.487","961.39K","-1.44%"
"01/23/2022","4.639","3.915","7.400","3.876","385.46K","16.00%"
"01/16/2022","3.999","4.356","4.390","3.781","410.45K","-6.17%"
"01/09/2022","4.262","4.144","4.879","3.977","847.22K","8.84%"
"01/02/2022","3.916","3.702","3.980","3.638","572.87K","4.99%"
"12/26/2021","3.730","3.958","4.261","3.536","297.14K","-0.03%"
"12/19/2021","3.731","3.645","4.041","3.599","425.87K","1.11%"
"12/12/2021","3.690","3.975","4.085","3.617","614.20K","-5.99%"
"12/05/2021","3.925","3.826","3.965","3.630","760.95K","-5.01%"
"11/28/2021","4.132","5.199","5.200","4.042","786.50K","-24.14%"
"11/21/2021","5.447","4.910","5.562","4.648","190.74K","7.54%"
"11/14/2021","5.065","4.903","5.394","4.713","625.50K","5.72%"
"11/07/2021","4.791","5.605","5.663","4.725","800.40K","-13.14%"
"10/31/2021","5.516","5.310","5.876","5.116","738.89K","1.66%"
"10/24/2021","5.426","5.468","6.291","5.401","427.41K","2.77%"
"10/17/2021","5.280","5.299","5.379","4.825","642.72K","-2.40%"
"10/10/2021","5.410","5.695","5.964","5.168","956.68K","-2.79%"
"10/03/2021","5.565","5.628","6.466","5.393","1.11M","-0.96%"
"09/26/2021","5.619","5.191","6.280","5.176","717.25K","9.32%"
"09/19/2021","5.140","5.015","5.183","4.735","581.38K","0.69%"
"09/12/2021","5.105","4.945","5.650","4.879","1.07M","3.38%"
"09/05/2021","4.938","4.710","5.058","4.557","794.29K","4.80%"
"08/29/2021","4.712","4.499","4.727","4.215","843.47K","7.83%"
"08/22/2021","4.370","3.862","4.397","3.838","263.64K","13.48%"
